StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2021-12-24 12:31:40;2021-12-24 12:32:11;2021-12-24 12:32:12;00:00:01;00:00:32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:12;2021-12-24 12:32:13;00:00:01;00:00:33;2;0.0605822;2;2;0;0;2;0.0605822;2;0.0605822;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:13;2021-12-24 12:32:14;00:00:01;00:00:34;1;0.0882016;1;3;0;0;1;0.0882016;1;0.0882016;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:14;2021-12-24 12:32:15;00:00:01;00:00:35;1;0.11424;1;4;0;0;1;0.11424;1;0.11424;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:15;2021-12-24 12:32:16;00:00:01;00:00:36;1;0.138835;1;5;0;0;1;0.138835;1;0.138835;0;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:16;2021-12-24 12:32:17;00:00:01;00:00:37;1;0.162101;1;6;0;0;1;0.162101;1;0.162101;0;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:17;2021-12-24 12:32:18;00:00:01;00:00:38;1;0.184138;1;7;0;0;1;0.184138;1;0.184138;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:18;2021-12-24 12:32:19;00:00:01;00:00:39;1;0.205049;1;8;0;0;1;0.205049;1;0.205049;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:19;2021-12-24 12:32:20;00:00:01;00:00:40;1;0.22491;1;9;0;0;1;0.22491;1;0.22491;0;0;0;0;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:20;2021-12-24 12:32:21;00:00:01;00:00:41;1;0.243807;1;10;0;0;1;0.243807;1;0.243807;0;0;0;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
